nor,He eats neither meat nor fish.
victim,The victim got help from the police.
newspaper,Dad reads the newspaper every morning.
instead,Drink water instead of soda.
threat,The storm was a threat to the town.
responsibility,It is your responsibility to do homework.
to smile,I smile when I see my friends.
attorney,The attorney spoke in the courtroom.
score,The final score was three to one.
account,She has a bank account already.
interesting,This book is very interesting to read.
break,Let us take a break after class.
audience,The audience clapped after the show.
rich,The rich man gave food to others.
dinner,We eat dinner together as a family.
to figure,I need to figure out this problem.
vote,Every adult can vote in elections.
western,Cowboys live in western stories.
to relate,I can relate to your feelings.
to travel,I love to travel to new places.
debate,The students had a debate in class.
to prevent,Wash your hands to prevent sickness.
citizen,A good citizen follows the rules.
majority,The majority of kids like ice cream.
none,None of the answers were correct.
front,She sat in the front of the class.
to be born,I was born in a small city.
to admit,He had to admit he was wrong.
senior,The senior student helped the younger ones.
to assume,Do not assume the answer is easy.
wind,The wind blew my hat away.
key,She lost the key to her house.
professional,He is a professional soccer player.
mission,Our mission is to help the school.
fast,The cheetah is a very fast animal.
alone,She felt alone at the new school.
customer,The customer bought a new book.
to suffer,Nobody wants to suffer in pain.
speech,She gave a great speech today.
successful,He is a very successful student.
option,You have one more option left.
participant,Each participant got a small prize.
southern,They live in the southern part.
fresh,I love the smell of fresh bread.
eventually,She eventually learned to ride a bike.
no,There is no milk in the fridge.
forest,The forest is full of tall trees.
video,We watched a funny video together.
global,Climate change is a global problem.
Senate,The Senate voted on a new law.
reform,The school needs a big reform.
access,We have access to clean water.
restaurant,The restaurant serves very good food.
judge,The judge made a fair decision.
to publish,She wants to publish her first book.
to cost,How much does this toy cost?
relation,There is a relation between food and health.
like,I like to play outside after school.
to release,They will release the movie next week.
to own,I own a small blue bicycle.
bird,A colorful bird sat on the tree.
opinion,She shared her opinion with the class.
credit,He got credit for his hard work.
critical,Water is critical for all living things.
corner,The cat is hiding in the corner.
concerned,She is concerned about her sick cat.
to recall,Can you recall where you put it?
version,I read the short version of the story.
to stare,It is rude to stare at people.
safety,Always wear a helmet for safety.
effective,Exercise is effective for staying healthy.
neighborhood,My neighborhood has a big park.
original,This is the original painting; not a copy.
act,It was a kind act to help her.
troop,The troop of soldiers marched together.
income,His income helps pay for the house.
directly,She looked directly at the teacher.
to hurt,Be careful so you do not hurt yourself.
species,The panda is an endangered species.
immediately,Please come here immediately.
track,The runner stayed on the track.
basic,Reading is a basic skill for everyone.
to strike,Lightning can strike a tall tree.
hope,I hope you have a great day.
sky,The sky is bright and blue today.
freedom,Every person deserves to have freedom.
absolutely,This is absolutely amazing!
plane,The plane flies in the sky.
nobody,Nobody is in the room.
to achieve,I want to achieve my goal.
object,What is that object on the table?
attitude,She has a great attitude at school.
labor,Labor Day is a holiday.
to refer,Please refer to your book.
concept,That is a simple concept to learn.
client,The client is waiting outside.
powerful,The lion is a powerful animal.
perfect,Her answer was perfect.
nine,I have nine colored pencils.
therefore,It rained; therefore the ground is wet.
to conduct,She will conduct the school band.
to announce,He will announce the winner today.
conversation,We had a fun conversation at lunch.
to examine,The doctor will examine the patient.
to touch,Please do not touch the painting.
please,Please open the window.
to attend,I will attend the class tomorrow.
completely,The glass is completely full.
to vote,You can vote when you are older.
variety,There is a variety of fruits here.
to sleep,I sleep eight hours every night.
turn,It is your turn to play.
involved,He was involved in the project.
investigation,The police started an investigation.
nuclear,The sun produces nuclear energy.
researcher,The researcher studied ocean animals.
press,Press the button to open the door.
conflict,They resolved the conflict peacefully.
spirit,Our team has a great team spirit.
to experience,I want to experience new things.
to replace,We need to replace the broken chair.
British,The British flag is red and blue.
to encourage,Teachers encourage students to read.
argument,They had an argument about the game.
by,The cat is sitting by the door.
once,I visited London once last year.
camp,We stayed in a camp in the forest.
brain,The brain controls our whole body.
feature,The best feature of this phone is the camera.
afternoon,We played soccer in the afternoon.
AM,School starts at 8 AM every day.
weekend,I love playing games on the weekend.
dozen,Mom bought a dozen eggs at the store.
possibility,There is a possibility of rain today.
along,Walk along the path to the park.
insurance,My dad has car insurance.
department,The science department is very big.
battle,The soldiers fought a long battle.
beginning,The beginning of the story is fun.
date,Today's date is important to remember.
generally,I generally wake up early.
African,The African elephant is very large.
very,This cake is very delicious.
sorry,I am sorry for my mistake.
crisis,The city had a big water crisis.
to complete,I need to complete my homework today.
fan,She is a big fan of music.
to stick,Please stick the paper on the wall.
to define,Can you define this word for me?
easily,She can easily solve this problem.
through,The cat walked through the door.
hole,There is a hole in my sock.
element,Water is an important element of life.
vision,The doctor checked my vision today.
status,What is the status of your project?
normal,It is normal to feel a little nervous.
Chinese,I love eating Chinese food.
ship,The big ship crossed the ocean.
solution,She found a solution to the problem.
stone,He threw a stone into the river.
slowly,The turtle walks very slowly.
scale,We used a scale to weigh the fruit.
bit,I eat just a little bit of sugar.
university,My sister studies at a big university.
to introduce,Let me introduce my best friend.
driver,The bus driver is very friendly.
attempt,He made an attempt to climb the tree.
park,We played football in the park.
spot,I found a nice spot to sit.
lack,There is a lack of water in the city.
ice,She put ice in her cold drink.
boat,We took a boat ride on the river.
to drink,I like to drink orange juice.
sun,The sun is very bright today.
front,Please sit in the front row.
distance,The school is a short distance away.
wood,The table is made of wood.
to handle,She knows how to handle the situation.
truck,The big truck carried heavy boxes.
return,I will return home after school.
mountain,We hiked up the tall mountain.
survey,The teacher gave us a short survey.
supposed,You are supposed to be in class.
tradition,Eating turkey is a holiday tradition.
winter,It is very cold during winter.
village,My grandma lives in a small village.
Soviet,The Soviet flag was red and gold.
to refuse,She will refuse to eat the food.
sales,The store has big sales today.
to roll,The ball will roll down the hill.
communication,Good communication helps us understand each other.
run,I like to run in the park.
screen,The screen on my phone is broken.
to gain,She wants to gain more knowledge.
resident,The resident lives on this street.
to hide,The cat likes to hide under the bed.
gold,The ring is made of gold.
club,She joined the reading club at school.
future,I want to be a doctor in the future.
farm,The farm has many cows and chickens.
potential,This student has great potential.
increase,We need to increase our water intake.
middle,She sits in the middle of the classroom.
European,Paris is a famous European city.
presence,His presence made everyone feel happy.
independent,She is an independent and brave girl.
district,Our district has a great new school.
shape,The cookie is in the shape of a star.
reader,He is a fast reader of books.
Ms,Ms. Silva is our English teacher.
contract,The player signed a new contract.
crowd,A big crowd watched the game.
Christian,She is a Christian and goes to church.
to express,He uses art to express his feelings.
apartment,My family lives in a small apartment.
willing,I am willing to help you study.
strength,Exercise gives your body more strength.
previous,The previous lesson was about animals.
band,The band played music at the party.
obviously,She is obviously very happy today.
horse,The horse ran fast across the field.
interested,I am interested in learning science.
target,His target was to score ten points.
prison,The guard works at the prison.
to ride,I love to ride my bicycle.
guard,The guard stopped us at the door.
terms,We agreed on the terms of the game.
demand,There is a big demand for new books.
reporter,The reporter asked many questions.
to deliver,He will deliver the package tomorrow.
text,Please read the text on page five.
share,Always share your food with friends.
tool,A hammer is a useful tool.
wild,The wild animals live in the forest.
vehicle,A car is a common vehicle.
to observe,We will observe the stars tonight.
flight,The flight to London was long.
inside,The cat is inside the house.
facility,The school has a great sports facility.
understanding,She has a good understanding of math.
average,The average score in the test was seven.
to emerge,A butterfly will emerge from the cocoon.
advantage,Being tall is an advantage in basketball.
quick,The quick fox jumped over the fence.
light,The light in the room is very bright.
leadership,She showed great leadership in the project.
to earn,You can earn money by helping at home.
pound,A pound is a unit of weight.
basis,We clean the house on a weekly basis.
bright,The bright star lit up the sky.
to operate,Only adults can operate this machine.
guest,We have a guest staying with us tonight.
sample,The doctor took a small blood sample.
to contribute,Everyone can contribute ideas to the project.
tiny,The tiny ant carried a big crumb.
block,She lives on the next block.
protection,A helmet gives protection to your head.
to settle,Let's settle this with a friendly game.
to feed,She likes to feed the ducks at the park.
to collect,I love to collect colorful stamps.
additional,We need one additional chair for the guest.
while,She read a book while it rained outside.
highly,This book is highly recommended by teachers.
identity,Your name is part of your identity.
title,She chose a great title for her story.
mostly,The students are mostly happy at school.
lesson,Today's lesson was about the solar system.
faith,He had faith that his team would win.
river,The children swam in the cool river.
to promote,The school will promote healthy eating habits.
living,She enjoys living near the ocean.
present,She was present at every class this week.
to count,Can you count to one hundred?
unless,You cannot play unless you finish your homework.
to marry,They plan to marry next summer.
tomorrow,We will go to the beach tomorrow.
technique,He learned a new painting technique at school.
path,Follow the path through the forest.
ear,The rabbit has one long ear.
shop,Mom went to the shop to buy bread.
folk,My grandma loves to sing folk songs.
to order,Can I order a cheese pizza please?
principle,Honesty is an important principle in life.
to survive,Some animals survive in very cold weather.
to lift,Can you lift this heavy box?
border,The river marks the border between the countries.
competition,She won the competition at school.
to jump,I like to jump on the trampoline.
to gather,We gather leaves in the park.
to limit,Please limit your time on the phone.
to fit,These shoes fit my feet well.
claim,He made a claim about the prize.
to cry,The baby started to cry loudly.
equipment,The sports equipment is in the gym.
worth,This book is worth reading.
to associate,We associate summer with hot weather.
critic,The critic wrote about the new film.
warm,The soup is warm and delicious.
aspect,One aspect of school is homework.
to result,Hard work can result in good grades.
to insist,She will insist on finishing her food.
failure,Failure teaches us important lessons.
annual,The annual school fair was very fun.
French,She is learning to speak French.
Christmas,We open gifts on Christmas morning.
comment,He made a kind comment about my drawing.
responsible,She is responsible for feeding the dog.
affair,The school party was a happy affair.
to approach,Do not approach the angry dog.
until,Wait here until I come back.
procedure,Follow the procedure to wash your hands.
regular,She has a regular bedtime every night.
to spread,He likes to spread butter on bread.
chairman,The chairman opened the school meeting.
baseball,We played baseball in the park today.
soft,The pillow is very soft and cozy.
to ignore,Please do not ignore your classmates.
egg,She cracked an egg into the bowl.
to measure,We need to measure the table carefully.
belief,He has a strong belief in kindness.
to demonstrate,She will demonstrate how to make bread.
anybody,Does anybody want more juice?
murder,The detective solved the mystery of the murder.
gift,She gave me a beautiful gift today.
religion,People practice religion in different ways.
review,He wrote a review of the new book.
editor,The editor fixed the mistakes in the text.
past,In the past; people used horses to travel.
to engage,Try to engage with your classmates more.
coffee,My mom drinks coffee every morning.
document,Please sign this document carefully.
speed,The car moved at high speed.
to cross,Look both ways before you cross the street.
influence,Good friends have a positive influence on us.
anyway,I was tired; but I went anyway.
to threaten,It is wrong to threaten other people.
to commit,She will commit to the project.
female,The female bird is smaller.
youth,Youth is a time to learn.
wave,She made a wave in the water.
move,Please move your chair here.
afraid,The boy is afraid of spiders.
quarter,I ate a quarter of the cake.
background,The sky is in the background.
native,She is a native speaker of English.
broad,The river is very broad here.
wonderful,We had a wonderful day today.
to deny,He will deny the mistake.
apparently,Apparently she already left school.
slightly,The soup is slightly too hot.
reaction,His reaction was very funny.
twice,I brushed my teeth twice today.
suit,He wore a blue suit to the party.
perspective,Try to see it from my perspective.
growing,The plant is growing very fast.
to blow,The wind will blow the leaves away.
construction,The construction of the school is done.
kind,She is a very kind person.
intelligence,Dogs show a lot of intelligence.
to destroy,Fire can destroy a forest quickly.
to cook,I love to cook pasta for lunch.
connection,There is a strong connection between them.
to charge,Please charge your phone at night.
to burn,Be careful not to burn your hand.
shoe,I lost one shoe at the park.
to view,We can view the city from here.
grade,She got a great grade in math.
context,Read the context before you answer.
committee,The committee met on Monday morning.
hey,Hey! Come and play with us!
mistake,Everyone makes a mistake sometimes.
focus,You need to focus during the test.
smile,Your smile makes everyone happy.
location,The school location is easy to find.
clothes,Put your clothes in the bag.
Indian,My friend loves Indian food.
quiet,Please be quiet in the library.
to dress,She likes to dress in bright colors.
to promise,I promise to be there on time.
aware,Be aware of cars on the street.
neighbor,My neighbor has a big friendly dog.
complete,Please complete the exercise in class.
drive,My dad can drive very well.
function,Each button has a different function.
bone,The dog buried the bone outside.
active,She is a very active student.
to extend,We need to extend the rope.
chief,The chief spoke to the tribe.
average,My average score is seven.
to combine,Let us combine the colors.
wine,My mom drinks wine at dinner.
below,The cat is below the table.
cool,The water is very cool today.
voter,Each voter chooses one candidate.
mean,That word can mean many things.
to demand,The students demand more free time.
learning,Learning English is very fun.
bus,I take the bus to school.
hell,The book describes hell as very hot.
dangerous,That dog looks very dangerous.
to remind,Please remind me of the test.
moral,The story has a good moral.
United,They are united as a team.
category,She won in the art category.
relatively,The test was relatively easy today.
victory,Our team celebrated the victory.
key,He lost the key to his house.
academic,She has a strong academic record.
visit,We will visit our grandparents soon.
Internet,I use the Internet for homework.
healthy,Eating fruits keeps you healthy.
to fire,The boss had to fire the worker.
negative,Try not to have negative thoughts.
following,The following lesson is about math.
historical,This is a historical building.
medicine,She took medicine for her cold.
tour,We went on a tour of the city.
to depend,Results depend on your hard work.
photo,He took a photo of the sunset.
finding,Her finding helped solve the problem.
to grab,Please grab your backpack now.
direct,Take the direct road to school.
classroom,Our classroom has many windows.
contact,Please contact me after class.
justice,Everyone deserves justice and respect.
to participate,All students must participate today.
daily,I have a daily reading routine.
fair,The game must be fair for all.
pair,I need a new pair of shoes.
famous,She is a famous singer in Brazil.
exercise,Daily exercise is good for you.
knee,He hurt his knee during the game.
flower,She gave me a beautiful flower.
tape,Use tape to close the box.
to hire,They want to hire a new teacher.
familiar,This song sounds very familiar.
appropriate,This behavior is appropriate at school.
supply,We need to supply water to everyone.
fully,She is fully ready for the test.
cut,He used scissors to cut the paper.
will,I will go to the park tomorrow.
actor,The actor performed on the big stage.
birth,The birth of a baby is special.
search,Let us search for the lost keys.
to tie,I need to tie my shoes now.
democracy,Democracy gives people the right to vote.
eastern,The eastern sky is bright at sunrise.
primary,Reading is a primary skill for students.
yesterday,I played football yesterday with my friends.
circle,Draw a circle on your paper.
device,This device helps us watch videos.
progress,She made great progress in math.
next,I will read the next chapter today.
front,She sat at the front of the class.
bottom,The box is at the bottom of the pile.
island,The island is surrounded by blue water.
exchange,We exchange gifts on special days.
clean,Please clean your room before dinner.
studio,The artist works in a small studio.
to train,Athletes train every day to get better.
lady,The kind lady helped the lost child.
colleague,My colleague helped me with the project.
application,I downloaded a new application on my phone.
neck,She wore a necklace around her neck.
to lean,Do not lean against the wet wall.
damage,The storm caused damage to the roof.
plastic,The bottle is made of plastic.
tall,The tall tree gives us shade.
plate,Put the food on your plate please.
to hate,It is wrong to hate other people.
otherwise,Study hard; otherwise you may fail the test.
writing,Her writing is very neat and clear.
to press,Press the button to open the door.
male,The male lion has a big mane.
start,We will start class at eight o'clock.
alive,The plant is still alive after a week.
expression,Her expression showed she was very happy.
football,We played football in the park today.
to intend,I intend to finish my homework early.
to attack,The dog did not attack the child.
chicken,We had chicken and rice for lunch.
army,The army protects the country from danger.
abuse,It is wrong to abuse animals or people.
theater,We watched a play at the theater.
to shut,Please shut the window; it is cold.
map,Use the map to find the school.
extra,I have an extra cookie for you.
session,The study session was very long.
danger,The dog was in danger.
to welcome,We welcome our new friend today.
domestic,A cat is a domestic animal.
lots,She has lots of colorful pens.
literature,I love reading literature books.
rain,The rain made the streets wet.
desire,He has a desire to learn English.
assessment,The teacher gave us an assessment today.
injury,The player had a leg injury.
respect,We must respect our teachers.
northern,Canada is in the northern part of America.
to nod,She began to nod her head yes.
to paint,I like to paint colorful pictures.
fuel,The car needs fuel to move.
leaf,A green leaf fell from the tree.
to direct,The teacher will direct the school play.
dry,The clothes are dry after the sun.
Russian,My friend speaks the Russian language.
instruction,Follow each instruction carefully.
fight,It is wrong to fight at school.
pool,We swam in the pool all day.
to climb,I love to climb tall trees.
sweet,This mango is very sweet.
lead,The captain will lead the team.
engine,The engine of the car is loud.
fourth,I live on the fourth floor.
salt,Please pass me the salt.
to expand,The school will expand next year.
importance,Water has great importance for life.
metal,The spoon is made of metal.
fat,The bear is very fat in winter.
ticket,I bought a ticket for the show.
software,This software helps me do my homework.
to disappear,The rabbit seemed to disappear quickly.
corporate,My mom works in a corporate office.
strange,That was a very strange noise.
lip,She put gloss on her lip.
reading,Reading books makes you smarter.
urban,We live in an urban area.
mental,Exercise is good for mental health.
increasingly,School is increasingly more fun.
lunch,I eat lunch at noon.
educational,This museum visit is very educational.
somewhere,My keys are somewhere in the house.
farmer,The farmer grows vegetables every day.
above,The bird flew above the clouds.
sugar,Too much sugar is bad for teeth.
planet,Earth is our home planet.
favorite,My favorite color is blue.
to explore,I love to explore new places.
to obtain,She wants to obtain good grades.
enemy,The hero fought the enemy.
greatest,He is the greatest player here.
complex,This puzzle is very complex.
to surround,Trees surround the small house.
athlete,The athlete runs very fast.
to invite,I want to invite my friends.
to repeat,Please repeat the word slowly.
carefully,She carefully carried the glass.
soul,Music touches the soul deeply.
scientific,We did a scientific experiment today.
impossible,Nothing is impossible if you try.
panel,The panel has four bright lights.
meaning,What is the meaning of this word?
mom,My mom makes delicious food.
married,My aunt got married last year.
alone,He sat alone in the room.
instrument,The guitar is my favorite instrument.
to predict,Can you predict tomorrow's weather?
weather,The weather is sunny and warm.
presidential,The presidential speech was very long.
emotional,She felt emotional at the ceremony.
commitment,He showed great commitment to school.
Supreme,The Supreme Court made a decision.
to bear,He cannot bear the loud noise.
pocket,I keep my coins in my pocket.
thin,The thin book fits in my bag.
temperature,The temperature today is very high.
surprise,The party was a big surprise.
poll,The class poll chose pizza as favorite.
proposal,She made a proposal to the group.
consequence,Lying has a bad consequence.
half,I ate half of my sandwich.
breath,Take a deep breath and relax.
sight,The view was a beautiful sight.
cover,Please cover the pot with a lid.
balance,She kept her balance on the rock.
to adopt,They decided to adopt a puppy.
minority,A minority of students chose math.
straight,Draw a straight line on the paper.
to attempt,He will attempt to climb the wall.
to connect,We can connect the two pieces easily.
works,This machine works very well.
teaching,Teaching children is a wonderful job.
to belong,This book does not belong to me.
aid,The doctor gave aid to the patient.
advice,My teacher gave me good advice.
okay,Everything is going to be okay.
photograph,I took a photograph of my dog.
empty,The box is empty.
regional,She speaks a regional dialect.
trail,We walked on the forest trail.
novel,I read a novel last week.
code,He wrote a secret code.
somehow,She somehow found the lost key.
to organize,I need to organize my room.
jury,The jury made a decision.
breast,The bird has a red breast.
Iraqi,The Iraqi flag has three colors.
human,Every human needs water to live.
to acknowledge,He did acknowledge his mistake.
theme,The theme of the party is jungle.
storm,A big storm hit the city.
union,The workers formed a union.
to record,She wants to record a song.
desk,My books are on my desk.
to fear,Children often fear the dark.
thanks,He said thanks after the gift.
fruit,An apple is a sweet fruit.
under,The cat is under the table.
expensive,That bicycle is very expensive.
yellow,The sun is big and yellow.
conclusion,We reached a conclusion at last.
prime,Health is of prime importance.
shadow,The tree made a long shadow.
to struggle,He had to struggle to win.
to conclude,We conclude the class with songs.
analyst,The analyst studied the numbers carefully.
dance,She loves to dance every day.
limit,There is a speed limit here.
like,I like to eat pizza.
regulation,The new regulation helps keep order.
being,Every being needs food and water.
to last,How long will the game last?
ring,She wears a gold ring.
largely,The plan was largely a success.
to shift,He had to shift his plans.
revenue,The school raised revenue with events.
to mark,Please mark the correct answer.
to locate,Can you locate the city on the map?
county,She lives in a small county.
appearance,His appearance changed after the haircut.
package,A package arrived at our door.
difficulty,He had difficulty solving the problem.
bridge,We crossed the old bridge slowly.
to recommend,I recommend this book to you.
obvious,The answer was obvious to everyone.
train,The train arrives at eight o'clock.
basically,It is basically a simple game.
e-mail,She sent me an e-mail today.
to generate,This machine can generate electricity.
anymore,I do not live here anymore.
to propose,He wants to propose a new idea.
thinking,She is thinking about her homework.
possibly,We can possibly go to the park.
trend,This color is a new trend.
visitor,The visitor came from another city.
loan,He got a loan from the bank.
currently,She is currently reading a book.
comfortable,This sofa is very comfortable.
investor,The investor put money in the company.
but,I like cats but not dogs.
profit,The shop made a big profit.
angry,He was angry after the game.
crew,The crew worked on the ship.
deep,The lake is very deep.
accident,There was an accident on the road.
male,The male lion is very strong.
meal,We had a great meal together.
hearing,The doctor checked her hearing today.
traffic,There is a lot of traffic today.
muscle,He hurt a muscle during practice.
notion,She had no notion of the answer.
to capture,They want to capture the moment.
to prefer,I prefer juice over soda.
truly,She is truly a great friend.
earth,The earth moves around the sun.
Japanese,She is learning Japanese at school.
chest,He felt pain in his chest.
to search,Let us search for the answer.
thick,This book is very thick.
cash,He paid with cash at the store.
museum,We visited the museum on Friday.
beauty,The beauty of the forest is amazing.
emergency,Call for help in an emergency.
unique,Every person has a unique story.
to feature,The show will feature a new singer.
internal,The internal parts of the clock are small.
ethnic,The festival had ethnic food and music.
to link,You can link the two ideas together.
stress,Too much work can cause stress.
content,She is content with her grade.
to select,Please select your favorite color.
root,The root of the tree is strong.
nose,She has a small nose.
to declare,He had to declare his name.
outside,The children are playing outside.
to appreciate,I appreciate your help today.
actual,The actual answer is different.
bottle,She drinks water from a bottle.
hardly,He can hardly see the board.
setting,The setting of the story is a forest.
to launch,They will launch a new game today.
dress,She wore a blue dress to the party.
file,Please save the file on your computer.
sick,He stayed home because he felt sick.
outcome,The outcome of the game was a surprise.
ad,I saw an ad for a new toy.
to defend,A good friend will defend you.
to matter,Your feelings matter a lot.
to judge,It is not fair to judge others.
duty,It is your duty to be honest.
sheet,She put a clean sheet on the bed.
ought,You ought to study for the test.
to ensure,Lock the door to ensure your safety.
Catholic,She goes to a Catholic school.
extremely,The weather is extremely cold today.
extent,To some extent he is right.
component,This is an important component of the machine.
to mix,Mix the flour and the eggs together.
long-term,Exercise has long-term benefits for your health.
slow,The turtle is very slow.
contrast,The contrast between day and night is clear.
zone,Do not enter the danger zone.
to wake,I wake up early every morning.
to challenge,She likes to challenge herself every day.
airport,We arrived at the airport very early.
chief,The chief of the team made the decision.
brown,The dog has brown fur.
standard,The standard of the work was very high.
shirt,He wore a white shirt to school.
pilot,The pilot landed the plane safely.
to warn,Mom warned me about the hot stove.
ultimately,Ultimately she chose the red dress.
cat,My cat sleeps on the sofa.
contribution,His contribution to the project was great.
capacity,The stadium has a large capacity.
ourselves,We made the cake ourselves.
estate,The family owns a large estate.
guide,The guide showed us the museum.
circumstance,In this circumstance you must be careful.
snow,The children played in the snow.
English,She speaks English very well.
politician,The politician gave a speech to the crowd.
to steal,It is wrong to steal from others.
to pursue,He wants to pursue his dream of singing.
to slip,Be careful not to slip on the ice.
percentage,A large percentage of students passed the test.
meat,I like to eat meat for lunch.
funny,That clown is very funny.
neither,I like neither cats nor dogs.
soil,Plants grow in the soil.
to influence,Good books can influence your life.
surgery,The doctor performed a long surgery.
correct,Your answer is correct.
Jewish,She celebrates Jewish holidays with family.
to blame,Do not blame others for your mistakes.
to estimate,Can you estimate how many apples are here?
due,The homework is due tomorrow.
basketball,He plays basketball every Saturday.
late,She arrived late to school.
golf,My grandfather loves to play golf.
to investigate,The police will investigate the case.
crazy,That idea sounds a little crazy.
significantly,Her grades improved significantly this year.
chain,The dog is on a chain.
address,What is your home address?
branch,A bird sat on the branch.
combination,That is a great combination of colors.
just,I just finished my homework.
frequently,She frequently reads books before bed.
governor,The governor spoke to the students.
relief,It was a relief to find my bag.
user,Each user needs a password.
dad,My dad makes great pancakes.
to kick,He tried to kick the ball hard.
part,This is the best part of the movie.
manner,Please speak in a polite manner.
ancient,We studied ancient civilizations in class.
silence,The teacher asked for silence.
rating,This movie has a high rating.
golden,The golden sun set over the hills.
motion,The motion of the waves was calming.
German,She is learning the German language.
gender,The form asks for your name and gender.
to solve,Can you solve this math problem?
fee,There is a small fee to enter.
landscape,The landscape was covered in green trees.
used,This bicycle is used but still good.
bowl,She ate a bowl of soup.
equal,Everyone deserves equal respect.
long,It was a long and tiring day.
official,The official results will come tomorrow.
forth,She walked back and forth nervously.
frame,He put the photo in a frame.
typical,This is a typical Brazilian breakfast.
except,Everyone came except my best friend.
conservative,My grandfather has conservative values.
to eliminate,We need to eliminate all the bugs.
host,The host welcomed all the guests.
hall,We walked through the school hall.
to trust,You can trust your best friend.
ocean,The ocean is deep and blue.
to score,He wants to score in the game.
row,We sat in the front row.
producer,The producer made a great film.
to afford,She cannot afford a new bike.
meanwhile,Meanwhile; the dog slept outside.
regime,The old regime had strict rules.
division,Division is harder than addition.
to confirm,Please confirm your answer now.
to fix,Dad will fix the broken chair.
appeal,The colorful poster has great appeal.
mirror,She looked at herself in the mirror.
tooth,My tooth hurts a little today.
smart,That was a very smart answer.
length,The length of the rope is short.
entirely,I entirely agree with your idea.
to rely,You can rely on your teacher.
topic,The topic of our talk is animals.
to complain,Try not to complain about homework.
to issue,The school will issue new books.
variable,The temperature is a variable factor.
to back,Friends should always back each other.
to range,Prices range from low to high.
telephone,She answered the telephone quickly.
perception,His perception of color is different.
to attract,Flowers attract bees and butterflies.
confidence,Practice gives you more confidence.
bedroom,My bedroom has a big window.
secret,Can you keep a secret?
debt,He paid his debt to the store.
rare,That is a rare and special bird.
his,His dog is very friendly.
tank,The fish tank is clean and clear.
nurse,The nurse helped the sick child.
coverage,The news coverage was very long.
opposition,The opposition team played very well.
aside,She stepped aside to let him pass.
anywhere,You can sit anywhere you like.
bond,There is a strong bond between them.
to file,Please file these papers in order.
pleasure,Reading is a great pleasure.
master,He is a master at painting.
era,We live in the era of computers.
requirement,A pen is a requirement for class.
check,Always check your work before finishing.
stand,Please stand up and say your name.
