a|article
luck|noun
lucky|adjective
lunch|noun
lung|noun
machine|noun
mad|adjective
magazine|noun
magic|adjective
magic|noun
magnetic|adjective
magnitude|noun
mail|noun
main|adjective
mainly|adverb
mainstream|adjective
maintenance|noun
major|adjective
major|noun
majority|noun
maker|noun
makeup|noun
male|adjective
male|noun
mall|noun
man|noun
management|noun
manager|noun
managing|adjective
mandate|noun
manner|noun
mansion|noun
manual|noun
manufacturer|noun
manufacturing|noun
many|determiner
map|noun
marble|noun
margin|noun
marine|adjective
mark|noun
marker|noun
market|noun
marketing|noun
marketplace|noun
marriage|noun
married|adjective
mask|noun
mass|noun
mass|adjective
massive|adjective
master|noun
match|noun
mate|noun
material|noun
math|noun
mathematics|noun
matter|noun
matter|determiner
maximum|adjective
may|verb modal
maybe|adverb
mayor|noun
me|pronoun
meal|noun
mean|noun
mean|adjective
meaning|noun
meaningful|adjective
meantime|noun
meanwhile|adverb
measure|noun
measurement|noun
meat|noun
mechanic|noun
mechanical|adjective
mechanism|noun
medal|noun
media|noun
medical|adjective
medication|noun
medicine|noun
medium|noun
medium|adjective
meeting|noun
member|noun
membership|noun
memory|noun
mental|adjective
mentally|adverb
mention|noun
mentor|noun
menu|noun
merchant|noun
mere|adjective
merely|adverb
merit|noun
mess|noun
message|noun
metal|noun
metaphor|noun
meter|noun
method|noun
metropolitan|adjective
Mexican|adjective
middle|adjective
middle|noun
middle-class|adjective
midnight|noun
midst|noun
might|verb modal
migration|noun
mild|adjective
military|adjective
military|noun
milk|noun
mill|noun
million|number
mind|noun
mine|pronoun
mine|noun
mineral|noun
minimal|adjective
minimum|adjective
minimum|noun
minister|noun
ministry|noun
minor|adjective
minority|noun
minute|noun
miracle|noun
mirror|noun
missile|noun
missing|adjective
mission|noun
missionary|noun
mistake|noun
mix|noun
mixed|adjective
mixture|noun
mm-hmm|u
mobile|adjective
mode|noun
model|noun
moderate|adjective
modern|adjective
modest|adjective
molecule|noun
mom|noun
moment|noun
momentum|noun
money|noun
monitor|noun
monkey|noun
monster|noun
month|noun
monthly|adjective
monument|noun
mood|noun
moon|noun
moral|adjective
more|adverb
more|determiner
moreover|adverb
morning|noun
mortality|noun
mortgage|noun
most|adverb
most|determiner
mostly|adverb
mother|noun
motion|noun
motivation|noun
motive|noun
motor|noun
mountain|noun
mouse|noun
mouth|noun
move|noun
movement|noun
movie|noun
Mr.|noun
Mrs|noun
Ms|noun
much|determiner
much|adverb
mud|noun
multiple|adjective
municipal|adjective
murder|noun
muscle|noun
museum|noun
mushroom|noun
music|noun
musical|adjective
musician|noun
Muslim|adjective
Muslim|noun
must|verb modal
mutual|adjective
my|article
myself|pronoun
mysterious|adjective
mystery|noun
myth|noun
n't|x
nail|noun
naked|adjective
name|noun
narrative|noun
narrow|adjective
nasty|adjective
nation|noun
national|adjective
nationwide|adverb
native|adjective
natural|adjective
naturally|adverb
nature|noun
naval|adjective
near|preposition
near|adjective
near|adverb
nearby|adjective
nearby|adverb
nearly|adverb
neat|adjective
necessarily|adverb
necessary|adjective
necessity|noun
neck|noun
need|noun
needle|noun
negative|adjective
negotiation|noun
neighbor|noun
neighborhood|noun
neighboring|adjective
neither|adverb
neither|determiner
nerve|noun
nervous|adjective
nest|noun
net|noun
net|adjective
network|noun
neutral|adjective
never|adverb
nevertheless|adverb
new|adjective
newly|adverb
news|noun
newspaper|noun
next|number
next|preposition
nice|adjective
night|noun
nightmare|noun
nine|number
no|article
no|adverb
no|u
no|pronoun
no|determiner
nobody|pronoun
noise|noun
nomination|noun
nominee|noun
none|pronoun
nonetheless|adverb
nonprofit|adjective
noon|noun
nor|conjunction
norm|noun
normal|adjective
normally|adverb
north|noun
northeast|noun
northern|adjective
northwest|noun
nose|noun
not|x
not|conjunction
note|noun
notebook|noun
nothing|pronoun
notice|noun
notion|noun
novel|noun
now|adverb
now|conjunction
nowhere|adverb
nuclear|adjective
number|noun
numerous|adjective
nurse|noun
nut|noun
nutrient|noun
o'clock|adverb
oak|noun
object|noun
objection|noun
objective|noun
obligation|noun
observation|noun
observer|noun
obstacle|noun
obvious|adjective
obviously|adverb
occasion|noun
occasional|adjective
occasionally|adverb
occupation|noun
ocean|noun
odd|adjective
odds|noun
of|preposition
off|adverb
off|preposition
offender|noun
offense|noun
offensive|adjective
offer|noun
offering|noun
office|noun
officer|noun
official|noun
official|adjective
officially|adverb
often|adverb
oh|u
oil|noun
ok|adverb
OK|adjective
okay|adverb
okay|adjective
old|adjective
old-fashioned|adjective
Olympic|adjective
Olympics|noun
on|preposition
on|adverb
once|adverb
once|conjunction
one|number
one|pronoun
one|noun
one-third|number
ongoing|adjective
onion|noun
online|adjective
online|adverb
only|adverb
only|adjective
onto|preposition
open|adjective
opening|noun
openly|adverb
opera|noun
operating|noun
operation|noun
operator|noun
opinion|noun
opponent|noun
opportunity|noun
opposed|preposition
opposite|adjective
opposition|noun
optimistic|adjective
option|noun
or|conjunction
oral|adjective
orange|adjective
orange|noun
orbit|noun
order|noun
ordinary|adjective
organ|noun
organic|adjective
organism|noun
organization|noun
organizational|adjective
organized|adjective
orientation|noun
origin|noun
original|adjective
originally|adverb
other|adjective
other|pronoun
other|preposition
others|noun
otherwise|adverb
ought|verb
our|article
ours|pronoun
ourselves|pronoun
out|adverb
out|preposition
outcome|noun
outdoor|adjective
outer|adjective
outfit|noun
outlet|noun
output|noun
outside|preposition
outside|adverb
outside|adjective
outsider|noun
outstanding|adjective
oven|noun
over|preposition
over|adverb
overall|adjective
overall|adverb
overnight|adverb
overwhelming|adjective
own|determiner
owner|noun
ownership|noun
oxygen|noun
pace|noun
pack|noun
package|noun
pad|noun
page|noun
pain|noun
painful|adjective
paint|noun
painter|noun
painting|noun
pair|noun
palace|noun
pale|adjective
Palestinian|adjective
Palestinian|noun
palm|noun
pan|noun
panel|noun
panic|noun
pant|noun
paper|noun
parade|noun
parent|noun
parental|adjective
parish|noun
park|noun
parking|noun
part|noun
part|adverb
part|preposition
partial|adjective
partially|adverb
participant|noun
participation|noun
particle|noun
particular|adjective
particular|adverb
particularly|adverb
partly|adverb
partner|noun
partnership|noun
party|noun
pass|noun
passage|noun
passenger|noun
passing|adjective
passion|noun
past|adjective
past|noun
past|preposition
past|adverb
pasta|noun
pastor|noun
patch|noun
patent|noun
path|noun
patience|noun
patient|noun
patient|adjective
patrol|noun
patron|noun
pattern|noun
pause|noun
pay|noun
payment|noun
PC|noun
peace|noun
peaceful|adjective
peak|noun
peanut|noun
peasant|noun
peer|noun
pen|noun
penalty|noun
pencil|noun
pension|noun
people|noun
pepper|noun
per|preposition
perceived|adjective
percentage|noun
perception|noun
perfect|adjective
perfectly|adverb
performance|noun
performer|noun
perhaps|adverb
period|noun
permanent|adjective
permission|noun
permit|noun
Persian|adjective
person|noun
personal|adjective
personality|noun
personally|adverb
personnel|noun
perspective|noun
pet|noun
phase|noun
phenomenon|noun
philosophical|adjective
philosophy|noun
phone|noun
photo|noun
photograph|noun
photographer|noun
photography|noun
phrase|noun
physical|adjective
physically|adverb
physician|noun
physics|noun
piano|noun
pickup|noun
picture|noun
pie|noun
piece|noun
pig|noun
pile|noun
pill|noun
pillow|noun
pilot|noun
pin|noun
pine|noun
pink|adjective
pioneer|noun
pipe|noun
pistol|noun
pit|noun
pitch|noun
pitcher|noun
pizza|noun
place|noun
placement|noun
plain|adjective
plain|noun
plaintiff|noun
plan|noun
plane|noun
planet|noun
planner|noun
planning|noun
plant|noun
plastic|noun
plate|noun
platform|noun
play|noun
player|noun
playoff|noun
plea|noun
pleasant|adjective
please|adverb
pleased|adjective
pleasure|noun
plenty|pronoun
plot|noun
plus|preposition
PM|adverb
pocket|noun
poem|noun
poet|noun
poetry|noun
point|noun
pole|noun
police|noun
policeman|noun
policy|noun
political|adjective
politically|adverb
politician|noun
politics|noun
poll|noun
pollution|noun
pond|noun
pool|noun
poor|adjective
pop|noun
popular|adjective
popularity|noun
population|noun
porch|noun
pork|noun
port|noun
portfolio|noun
portion|noun
portrait|noun
position|noun
positive|adjective
possession|noun
possibility|noun
possible|adjective
possibly|adverb
post|noun
poster|noun
pot|noun
potato|noun
potential|adjective
potential|noun
potentially|adverb
pound|noun
poverty|noun
powder|noun
power|noun
powerful|adjective
practical|adjective
practically|adverb
practice|noun
practitioner|noun
praise|noun
prayer|noun
precious|adjective
precise|adjective
precisely|adverb
predator|noun
prediction|noun
preference|noun
pregnancy|noun
pregnant|adjective
preliminary|adjective
premise|noun
premium|noun
preparation|noun
prescription|noun
presence|noun
present|adjective
present|noun
presentation|noun
presidency|noun
president|noun
presidential|adjective
press|noun
pressure|noun
presumably|adverb
pretty|adverb
pretty|adjective
prevention|noun
previous|adjective
previously|adverb
price|noun
pride|noun
priest|noun
primarily|adverb
primary|adjective
primary|noun
prime|adjective
principal|noun
principal|adjective
principle|noun
print|noun
prior|preposition
prior|adjective
priority|noun
prison|noun
prisoner|noun
privacy|noun
private|adjective
privately|adverb
privilege|noun
prize|noun
pro|noun
pro|adjective
probably|adverb
problem|noun
procedure|noun
process|noun
processing|noun
processor|noun
producer|noun
product|noun
production|noun
productive|adjective
productivity|noun
profession|noun
professional|adjective
professional|noun
professor|noun
profile|noun
profit|noun
profound|adjective
program|noun
programming|noun
progress|noun
progressive|adjective
project|noun
projection|noun
prominent|adjective
promise|noun
promising|adjective
promotion|noun
proof|noun
proper|adjective
properly|adverb
property|noun
proportion|noun
proposal|noun
proposed|adjective
prosecution|noun
prosecutor|noun
prospect|noun
protection|noun
protective|adjective
protein|noun
protest|noun
protocol|noun
proud|adjective
provided|conjunction
provider|noun
province|noun
provision|noun
psychological|adjective
psychologist|noun
psychology|noun
public|adjective
public|noun
public|adverb
publication|noun
publicity|noun
publicly|adverb
publisher|noun
pulse|noun
pump|noun
punishment|noun
purchase|noun
pure|adjective
purple|adjective
purpose|noun
purse|noun
pursuit|noun
puzzle|noun
quality|noun
quantity|noun
quarter|noun
quarterback|noun
queen|noun
quest|noun
question|noun
questionnaire|noun
quick|adjective
quickly|adverb
quiet|adjective
quietly|adverb
quite|adverb
quote|noun
rabbit|noun
race|noun
racial|adjective
racism|noun
rack|noun
radar|noun
radiation|noun
radical|adjective
radio|noun
rage|noun
rail|noun
railroad|noun
rain|noun
rally|noun
ranch|noun
random|adjective
range|noun
rank|noun
rape|noun
rapid|adjective
rapidly|adverb
rare|adjective
rarely|adverb
rat|noun
rate|noun
rather|adverb
rather|adverb
rather|conjunction
rating|noun
ratio|noun
rational|adjective
raw|adjective
re|preposition
reach|noun
reaction|noun
reader|noun
readily|adverb
reading|noun
ready|adjective
real|adjective
realistic|adjective
reality|noun
really|adverb
realm|noun
rear|adjective
reason|noun
reasonable|adjective
rebel|noun
receiver|noun
recent|adjective
recently|adverb
reception|noun
recession|noun
recipe|noun
recipient|noun
recognition|noun
recommendation|noun
record|noun
recording|noun
recovery|noun
red|adjective
reduction|noun
reference|noun
reflection|noun
reform|noun
refrigerator|noun
refuge|noun
refugee|noun
regard|preposition
regard|noun
regarding|preposition
regardless|adverb
regime|noun
region|noun
regional|adjective
regular|adjective
regularly|adverb
regulation|noun
regulator|noun
regulatory|adjective
rehabilitation|noun
related|adjective
relation|noun
relationship|noun
relative|noun
relative|adjective
relatively|adverb
release|noun
relevant|adjective
reliability|noun
reliable|adjective
relief|noun
religion|noun
religious|adjective
reluctant|adjective
remaining|adjective
remark|noun
remarkable|adjective
reminder|noun
remote|adjective
removal|noun
rent|noun
rental|noun
repair|noun
repeatedly|adverb
replacement|noun
report|noun
reportedly|adverb
reporter|noun
reporting|noun
representation|noun
representative|noun
representative|adjective
republic|noun
Republican|noun
republican|adjective
reputation|noun
request|noun
required|adjective
requirement|noun
rescue|noun
research|noun
researcher|noun
reservation|noun
reserve|noun
residence|noun
resident|noun
residential|adjective
resistance|noun
resolution|noun
resort|noun
resource|noun
respect|noun
respect|preposition
respectively|adverb
respondent|noun
response|noun
response|preposition
responsibility|noun
responsible|adjective
rest|noun
restaurant|noun
restriction|noun
result|noun
retail|adjective
retailer|noun
retired|adjective
retirement|noun
retreat|noun
return|noun
revelation|noun
revenue|noun
review|noun
revolution|noun
revolutionary|adjective
reward|noun
rhetoric|noun
rhythm|noun
rib|noun
ribbon|noun
rice|noun
rich|adjective
ride|noun
rider|noun
ridge|noun
ridiculous|adjective
rifle|noun
right|adverb
right|noun
right|adjective
rim|noun
ring|noun
riot|noun
rise|noun
risk|noun
risky|adjective
ritual|noun
rival|noun
river|noun
road|noun
robot|noun
rock|noun
rocket|noun
rod|noun
role|noun
roll|noun
rolling|adjective
Roman|adjective
romance|noun
romantic|adjective
roof|noun
room|noun
root|noun
rope|noun
rose|noun
rough|adjective
roughly|adverb
round|noun
round|adjective
route|noun
routine|noun
routinely|adverb
row|noun
royal|adjective
rubber|adjective
rule|noun
ruling|noun
rumor|noun
run|noun
runner|noun
running|adjective
running|noun
rural|adjective
rush|noun
Russian|adjective
Russian|noun
sack|noun
sacred|adjective
sacrifice|noun
sad|adjective
safe|adjective
safely|adverb
safety|noun
sake|noun
salad|noun
salary|noun
sale|noun
sales|noun
salmon|noun
salt|noun
same|determiner
sample|noun
sanction|noun
sand|noun
sandwich|noun
satellite|noun
satisfaction|noun
sauce|noun
saving|noun
scale|noun
scandal|noun
scared|adjective
scary|adjective
scenario|noun
scene|noun
scent|noun
schedule|noun
scheme|noun
scholar|noun
scholarship|noun
school|noun
science|noun
scientific|adjective
scientist|noun
scope|noun
score|noun
screen|noun
screening|noun
script|noun
sculpture|noun
sea|noun
seal|noun
search|noun
season|noun
seat|noun
second|number
second|noun
secondary|adjective
secret|noun
secret|adjective
secretary|noun
section|noun
sector|noun
secular|adjective
secure|adjective
security|noun
seed|noun
seemingly|adverb
segment|noun
seldom|adverb
selected|adjective
selection|noun
self|noun
self-esteem|noun
seller|noun
seminar|noun
Senate|noun
senator|noun
senior|adjective
senior|noun
sensation|noun
sense|noun
sensitive|adjective
sensitivity|noun
sensor|noun
sentence|noun
sentiment|noun
separate|adjective
separation|noun
sequence|noun
series|noun
serious|adjective
seriously|adverb
servant|noun
service|noun
serving|noun
session|noun
set|noun
setting|noun
settlement|noun
seven|number
seventh|number
several|determiner
severe|adjective
severely|adverb
sex|noun
sexual|adjective
sexuality|noun
sexually|adverb
sexy|adjective
shade|noun
shadow|noun
shallow|adjective
shame|noun
shape|noun
share|noun
shared|adjective
shareholder|noun
shark|noun
sharp|adjective
sharply|adverb
she|pronoun
sheep|noun
sheer|adjective
sheet|noun
shelf|noun
shell|noun
shelter|noun
shift|noun
ship|noun
shirt|noun
shit|noun
shock|noun
shoe|noun
shooting|noun
shop|noun
shopping|noun
shore|noun
short|adjective
short|adverb
short-term|adjective
shortage|noun
shortly|adverb
shorts|noun
shot|noun
should|verb modal
shoulder|noun
show|noun
shower|noun
shrimp|noun
shuttle|noun
shy|adjective
sibling|noun
sick|adjective
side|noun
sidewalk|noun
sight|noun
sign|noun
signal|noun
signature|noun
significance|noun
significant|adjective
significantly|adverb
silence|noun
silent|adjective
silk|noun
silly|adjective
silver|noun
similar|adjective
similarity|noun
similarly|adverb
simple|adjective
simply|adverb
simultaneously|adverb
sin|noun
since|conjunction
since|preposition
since|adverb
singer|noun
single|adjective
sink|noun
sir|noun
sister|noun
site|noun
situation|noun
six|number
sixth|number
size|noun
ski|noun
skill|noun
skilled|adjective
skin|noun
skirt|noun
skull|noun
sky|noun
slave|noun
slavery|noun
sleep|noun
sleeve|noun
slice|noun
slide|noun
slight|adjective
slightly|adverb
slope|noun
slot|noun
slow|adjective
slowly|adverb
small|adjective
smart|adjective
smell|noun
smile|noun
smoke|noun
smooth|adjective
snake|noun
snow|noun
so|adverb
so|conjunction
so-called|adjective
soap|noun
soccer|noun
social|adjective
socially|adverb
society|noun
sock|noun
sodium|noun
sofa|noun
soft|adjective
softly|adverb
software|noun
soil|noun
solar|adjective
soldier|noun
sole|adjective
solely|adverb
solid|adjective
solution|noun
some|determiner
somebody|pronoun
someday|adverb
somehow|adverb
someone|pronoun
something|pronoun
sometime|adverb
sometimes|adverb
somewhat|adverb
somewhere|adverb
son|noun
song|noun
soon|adverb
soon|conjunction
sophisticated|adjective
sorry|adjective
sort|noun
soul|noun
sound|noun
soup|noun
source|noun
south|noun
southeast|noun
southern|adjective
southwest|noun
sovereignty|noun
Soviet|adjective
space|noun
Spanish|adjective
speaker|noun
special|adjective
specialist|noun
specialty|noun
species|noun
specific|adjective
specifically|adverb
spectacular|adjective
spectrum|noun
speculation|noun
speech|noun
speed|noun
spending|noun
sphere|noun
spine|noun
spirit|noun
spiritual|adjective
spite|preposition
spokesman|noun
sponsor|noun
spoon|noun
sport|noun
spot|noun
spouse|noun
spray|noun
spread|noun
spring|noun
spy|noun
squad|noun
square|adjective
square|noun
stability|noun
stable|adjective
stack|noun
stadium|noun
staff|noun
stage|noun
stair|noun
stake|noun
stance|noun
stand|noun
standard|noun
standard|adjective
standing|noun
star|noun
start|noun
starter|noun
starting|noun
state|noun
statement|noun
station|noun
statistical|adjective
statistics|noun
statue|noun
status|noun
statute|noun
stay|noun
steadily|adverb
steady|adjective
steak|noun
steam|noun
steel|noun
steep|adjective
stem|noun
step|noun
stereotype|noun
stick|noun
stiff|adjective
still|adverb
still|adjective
stimulus|noun
stock|noun
stomach|noun
stone|noun
stop|noun
storage|noun
store|noun
storm|noun
story|noun
stove|noun
straight|adverb
straight|adjective
strain|noun
strange|adjective
stranger|noun
strategic|adjective
strategy|noun
straw|noun
streak|noun
stream|noun
street|noun
strength|noun
stress|noun
stretch|noun
strict|adjective
strictly|adverb
strike|noun
striking|adjective
string|noun
strip|noun
stroke|noun
strong|adjective
strongly|adverb
structural|adjective
structure|noun
struggle|noun
student|noun
studio|noun
study|noun
stuff|noun
stupid|adjective
style|noun
subject|noun
subject|preposition
subsequent|adjective
subsidy|noun
substance|noun
substantial|adjective
substantially|adverb
subtle|adjective
suburb|noun
suburban|adjective
success|noun
successful|adjective
successfully|adverb
such|determiner
such|preposition
sudden|adjective
sudden|adverb
suddenly|adverb
suffering|noun
sufficient|adjective
sugar|noun
suggestion|noun
suicide|noun
suit|noun
suitable|adjective
suite|noun
sum|noun
summary|noun
summer|noun
summit|noun
sun|noun
sunlight|noun
sunny|adjective
super|adjective
superior|adjective
supermarket|noun
supervisor|noun
supplier|noun
supply|noun
support|noun
supporter|noun
supportive|adjective
supposed|adjective
supposedly|adverb
Supreme|adjective
sure|adjective
sure|adverb
surely|adverb
surface|noun
surgeon|noun
surgery|noun
surprise|noun
surprised|adjective
surprising|adjective
surprisingly|adverb
surrounding|adjective
surveillance|noun
survey|noun
survival|noun
survivor|noun
suspect|noun
suspicion|noun
suspicious|adjective
sustainable|adjective
sweat|noun
sweater|noun
sweet|adjective
swimming|noun
swing|noun
switch|noun
sword|noun
symbol|noun
symbolic|adjective
sympathy|noun
symptom|noun
syndrome|noun
system|noun
T-shirt|noun
table|noun
tablespoon|noun
tactic|noun
tag|noun
tail|noun
tale|noun
talent|noun
talented|adjective
talk|noun
tall|adjective
tank|noun
tape|noun
target|noun
task|noun
taste|noun
tax|noun
taxpayer|noun
tea|noun
teacher|noun
teaching|noun
team|noun
teammate|noun
tear|noun
teaspoon|noun
technical|adjective
technician|noun
technique|noun
technological|adjective
technology|noun
teen|noun
teenage|adjective
teenager|noun
telephone|noun
telescope|noun
television|noun
temperature|noun
temple|noun
temporary|adjective
ten|number
tendency|noun
tender|adjective
tennis|noun
tension|noun
tent|noun
term|noun
terms|preposition
terrain|noun
terrible|adjective
terribly|adverb
terrific|adjective
territory|noun
terror|noun
terrorism|noun
terrorist|noun
terrorist|adjective
test|noun
testimony|noun
testing|noun
text|noun
textbook|noun
texture|noun
than|conjunction
than|preposition
thanks|noun
Thanksgiving|noun
that|conjunction
that|determiner
that|adverb
the|article
theater|noun
their|article
them|pronoun
theme|noun
themselves|pronoun
then|adverb
theological|adjective
theology|noun
theoretical|adjective
theory|noun
therapist|noun
therapy|noun
there|e
there|adverb
thereby|adverb
therefore|adverb
these|determiner
they|pronoun
thick|adjective
thigh|noun
thin|adjective
thing|noun
thinking|noun
third|number
thirty|number
this|determiner
this|adverb
thoroughly|adverb
those|determiner
though|conjunction
though|adverb
thought|noun
thousand|number
thread|noun
threat|noun
three|number
threshold|noun
throat|noun
through|preposition
through|adverb
throughout|preposition
thumb|noun
thus|adverb
ticket|noun
tide|noun
tie|noun
tight|adjective
tight|adverb
tightly|adverb
tile|noun
till|conjunction
till|preposition
timber|noun
time|noun
timing|noun
tiny|adjective
tip|noun
tired|adjective
tissue|noun
title|noun
to|preposition
to abandon|verb
to absorb|verb
to abuse|verb
to accelerate|verb
to accept|verb
to access|verb
to accommodate|verb
to accompany|verb
to accomplish|verb
to account|verb
to accuse|verb
to achieve|verb
to acknowledge|verb
to acquire|verb
to act|verb
to adapt|verb
to add|verb
to address|verb
to adjust|verb
to administer|verb
to admire|verb
to admit|verb
to adopt|verb
to advance|verb
to advise|verb
to advocate|verb
to affect|verb
to afford|verb
to age|verb
to agree|verb
to aid|verb
to aim|verb
to allow|verb
to alter|verb
to analyze|verb
to announce|verb
to answer|verb
to anticipate|verb
to apologize|verb
to appeal|verb
to appear|verb
to apply|verb
to appoint|verb
to appreciate|verb
to approach|verb
to approve|verb
to argue|verb
to arise|verb
to arm|verb
to arrange|verb
to arrest|verb
to arrive|verb
to articulate|verb
to ask|verb
to assemble|verb
to assert|verb
to assess|verb
to assign|verb
to assist|verb
to associate|verb
to assume|verb
to assure|verb
to attach|verb
to attack|verb
to attempt|verb
to attend|verb
to attract|verb
to attribute|verb
to authorize|verb
to average|verb
to avoid|verb
to await|verb
to award|verb
to back|verb
to bake|verb
to balance|verb
to ban|verb
to base|verb
to battle|verb
to be|verb
to be born|verb
to bear|verb
to beat|verb
to become|verb
to beg|verb
to begin|verb
to behave|verb
to believe|verb
to belong|verb
to bend|verb
to benefit|verb
to bet|verb
to bind|verb
to bite|verb
to blame|verb
to blend|verb
to bless|verb
to blink|verb
to block|verb
to blow|verb
to boast|verb
to boil|verb
to bomb|verb
to boost|verb
to borrow|verb
to bother|verb
to bounce|verb
to bow|verb
to break|verb
to breathe|verb
to bring|verb
to broadcast|verb
to brush|verb
to build|verb
to burn|verb
to burst|verb
to bury|verb
to buy|verb
to calculate|verb
to call|verb
to calm|verb
to cancel|verb
to capture|verb
to care|verb
to carry|verb
to carve|verb
to cast|verb
to catch|verb
to cause|verb
to cease|verb
to celebrate|verb
to challenge|verb
to change|verb
to characterize|verb
to charge|verb
to chase|verb
to cheat|verb
to check|verb
to cheer|verb
to chew|verb
to choose|verb
to chop|verb
to circle|verb
to cite|verb
to claim|verb
to classify|verb
to clean|verb
to clear|verb
to click|verb
to climb|verb
to cling|verb
to close|verb
to coach|verb
to collapse|verb
to collect|verb
to color|verb
to combine|verb
to come|verb
to command|verb
to comment|verb
to commit|verb
to communicate|verb
to compare|verb
to compel|verb
to compete|verb
to complain|verb
to complete|verb
to comply|verb
to compose|verb
to comprise|verb
to compromise|verb
to concede|verb
to conceive|verb
to concentrate|verb
to concern|verb
to conclude|verb
to condemn|verb
to conduct|verb
to confess|verb
to confirm|verb
to confront|verb
to confuse|verb
to connect|verb
to consider|verb
to consist|verb
to constitute|verb
to construct|verb
to consult|verb
to consume|verb
to contact|verb
to contain|verb
to contemplate|verb
to contend|verb
to continue|verb
to contribute|verb
to control|verb
to convert|verb
to convey|verb
to convict|verb
to convince|verb
to cook|verb
to cool|verb
to cooperate|verb
to coordinate|verb
to cope|verb
to copy|verb
to correct|verb
to cost|verb
to count|verb
to counter|verb
to cover|verb
to crack|verb
to crash|verb
to crawl|verb
to create|verb
to credit|verb
to criticize|verb
to cross|verb
to crowd|verb
to crush|verb
to cry|verb
to cure|verb
to cut|verb
to damage|verb
to dance|verb
to dare|verb
to date|verb
to deal|verb
to debate|verb
to decide|verb
to declare|verb
to decline|verb
to decorate|verb
to decrease|verb
to dedicate|verb
to deem|verb
to defeat|verb
to defend|verb
to define|verb
to delay|verb
to deliver|verb
to demand|verb
to demonstrate|verb
to deny|verb
to depart|verb
to depend|verb
to depict|verb
to deploy|verb
to derive|verb
to descend|verb
to describe|verb
to deserve|verb
to design|verb
to desire|verb
to destroy|verb
to detect|verb
to determine|verb
to develop|verb
to devote|verb
to diagnose|verb
to dictate|verb
to die|verb
to differ|verb
to dig|verb
to diminish|verb
to dip|verb
to direct|verb
to disagree|verb
to disappear|verb
to disclose|verb
to discourage|verb
to discover|verb
to discuss|verb
to dismiss|verb
to display|verb
to dissolve|verb
to distinguish|verb
to distract|verb
to distribute|verb
to disturb|verb
to divide|verb
to divorce|verb
to do|verb
to document|verb
to dominate|verb
to donate|verb
to double|verb
to doubt|verb
to draft|verb
to drag|verb
to drain|verb
to draw|verb
to dream|verb
to dress|verb
to drift|verb
to drill|verb
to drink|verb
to drive|verb
to drop|verb
to drown|verb
to dry|verb
to dump|verb
to earn|verb
to ease|verb
to eat|verb
to echo|verb
to edit|verb
to educate|verb
to elect|verb
to eliminate|verb
to embrace|verb
to emerge|verb
to emphasize|verb
to employ|verb
to enable|verb
to enact|verb
to encounter|verb
to encourage|verb
to end|verb
to endorse|verb
to endure|verb
to enforce|verb
to engage|verb
to enhance|verb
to enjoy|verb
to enroll|verb
to ensure|verb
to enter|verb
to entitle|verb
to envision|verb
to equip|verb
to escape|verb
to establish|verb
to estimate|verb
to evaluate|verb
to evolve|verb
to examine|verb
to exceed|verb
to exchange|verb
to exclude|verb
to excuse|verb
to execute|verb
to exercise|verb
to exhaust|verb
to exhibit|verb
to exist|verb
to expand|verb
to expect|verb
to experience|verb
to explain|verb
to explode|verb
to exploit|verb
to explore|verb
to expose|verb
to express|verb
to extend|verb
to face|verb
to facilitate|verb
to fade|verb
to fail|verb
to fall|verb
to favor|verb
to fear|verb
to feature|verb
to feed|verb
to feel|verb
to fight|verb
to figure|verb
to file|verb
to fill|verb
to finance|verb
to find|verb
to finish|verb
to fire|verb
to fish|verb
to fit|verb
to fix|verb
to flash|verb
to flee|verb
to flip|verb
to float|verb
to flood|verb
to flow|verb
to fly|verb
to focus|verb
to fold|verb
to follow|verb
to forbid|verb
to force|verb
to forget|verb
to forgive|verb
to form|verb
to foster|verb
to found|verb
to frame|verb
to free|verb
to freeze|verb
to frown|verb
to frustrate|verb
to function|verb
to fund|verb
to gain|verb
to gather|verb
to gaze|verb
to generate|verb
to get|verb
to give|verb
to glance|verb
to go|verb
to govern|verb
to grab|verb
to graduate|verb
to grant|verb
to grasp|verb
to greet|verb
to grin|verb
to grow|verb
to guarantee|verb
to guard|verb
to guess|verb
to guide|verb
to hand|verb
to handle|verb
to hang|verb
to happen|verb
to harm|verb
to harvest|verb
to hate|verb
to haul|verb
to have|verb
to head|verb
to heal|verb
to hear|verb
to heat|verb
to help|verb
to hesitate|verb
to hide|verb
to highlight|verb
to hike|verb
to hire|verb
to hit|verb
to hold|verb
to honor|verb
to hook|verb
to hope|verb
to host|verb
to house|verb
to hug|verb
to hunt|verb
to hurry|verb
to hurt|verb
to identify|verb
to ignore|verb
to illustrate|verb
to imagine|verb
to implement|verb
to imply|verb
to impose|verb
to impress|verb
to improve|verb
to include|verb
to incorporate|verb
to increase|verb
to indicate|verb
to influence|verb
to inform|verb
to inherit|verb
to initiate|verb
to injure|verb
to insert|verb
to insist|verb
to inspire|verb
to install|verb
to instruct|verb
to integrate|verb
to intend|verb
to interact|verb
to interfere|verb
to interpret|verb
to interrupt|verb
to interview|verb
to introduce|verb
to invade|verb
to invent|verb
to invest|verb
to investigate|verb
to invite|verb
to involve|verb
to isolate|verb
to issue|verb
to join|verb
to joke|verb
to judge|verb
to jump|verb
to justify|verb
to keep|verb
to kick|verb
to kid|verb
to kill|verb
